name,time,RV,uncert,Instr,FWHM,bisector,time_conv,halpha_e,airmass,exp_time,sig_to_noise_ratio_in_order_55,barycentric_earth_rv,obs_site,halpha,reference,wavelength_calib_technique,source
TOI174,2458406.757,-0.73,0.67,PFS2,,,,,,,,,,,,,
TOI174,2458467.674,-3.15,0.39,PFS2,,,,,,,,,,,,,
TOI174,2458468.64,-5.07,0.61,PFS2,,,,,,,,,,,,,
TOI174,2458469.627,-3.39,0.42,PFS2,,,,,,,,,,,,,
TOI174,2458471.626,-3.81,0.41,PFS2,,,,,,,,,,,,,
TOI174,2458472.685,-2.11,0.4,PFS2,,,,,,,,,,,,,
TOI174,2458473.634,-1.67,0.35,PFS2,,,,,,,,,,,,,
TOI174,2458474.623,-2.13,0.34,PFS2,,,,,,,,,,,,,
TOI174,2458475.644,-0.07,0.37,PFS2,,,,,,,,,,,,,
TOI174,2458476.617,1.7,0.33,PFS2,,,,,,,,,,,,,
TOI174,2458479.615,4.39,0.33,PFS2,,,,,,,,,,,,,
TOI174,2458480.643,3.95,0.37,PFS2,,,,,,,,,,,,,
TOI174,2458501.628,-0.29,0.51,PFS2,,,,,,,,,,,,,
TOI174,2458502.577,-2.13,0.35,PFS2,,,,,,,,,,,,,
TOI174,2458503.6,-1.17,0.34,PFS2,,,,,,,,,,,,,
TOI174,2458504.64,-3.02,0.5,PFS2,,,,,,,,,,,,,
TOI174,2458505.595,-3.08,0.43,PFS2,,,,,,,,,,,,,
TOI174,2458506.581,-2.94,0.41,PFS2,,,,,,,,,,,,,
TOI174,2458507.587,-1.49,0.4,PFS2,,,,,,,,,,,,,
TOI174,2458508.594,-0.4,0.4,PFS2,,,,,,,,,,,,,
TOI174,2458509.549,1.55,0.66,PFS2,,,,,,,,,,,,,
TOI174,2458511.567,1.16,0.56,PFS2,,,,,,,,,,,,,
TOI174,2458527.6,2.27,0.87,PFS2,,,,,,,,,,,,,
TOI174,2458528.585,1.29,0.66,PFS2,,,,,,,,,,,,,
TOI174,2458529.588,1.03,0.61,PFS2,,,,,,,,,,,,,
TOI174,2458530.598,3.9,0.63,PFS2,,,,,,,,,,,,,
TOI174,2458531.541,3.6,0.96,PFS2,,,,,,,,,,,,,
TOI174,2458532.618,6.12,0.87,PFS2,,,,,,,,,,,,,
TOI174,2458675.91,2.13,0.87,PFS2,,,,,,,,,,,,,
TOI174,2458676.904,1.37,0.81,PFS2,,,,,,,,,,,,,
TOI174,2458677.922,1.52,0.69,PFS2,,,,,,,,,,,,,
TOI174,2458678.922,-0.99,0.68,PFS2,,,,,,,,,,,,,
TOI174,2458681.912,-3.22,0.82,PFS2,,,,,,,,,,,,,
TOI174,2458683.926,-0.56,0.91,PFS2,,,,,,,,,,,,,
TOI174,2458684.886,-0.86,0.83,PFS2,,,,,,,,,,,,,
TOI174,2458704.864,-3.29,0.71,PFS2,,,,,,,,,,,,,
TOI174,2458705.873,-2.89,0.75,PFS2,,,,,,,,,,,,,
TOI174,2458706.852,0.25,1.02,PFS2,,,,,,,,,,,,,
TOI174,2458707.828,1.13,1.45,PFS2,,,,,,,,,,,,,
TOI174,2458708.844,2.45,0.63,PFS2,,,,,,,,,,,,,
TOI174,2458709.834,2.58,0.63,PFS2,,,,,,,,,,,,,
TOI174,2458710.879,4.93,0.91,PFS2,,,,,,,,,,,,,
TOI174,2458711.863,2.63,0.7,PFS2,,,,,,,,,,,,,
TOI174,2458716.813,-1.43,0.88,PFS2,,,,,,,,,,,,,
TOI174,2458717.858,-0.84,0.68,PFS2,,,,,,,,,,,,,
TOI174,2458737.88,-3.66,0.78,PFS2,,,,,,,,,,,,,
TOI174,2458738.864,-0.6,0.75,PFS2,,,,,,,,,,,,,
TOI174,2458739.872,-1.97,0.67,PFS2,,,,,,,,,,,,,
TOI174,2458740.866,-2.87,0.71,PFS2,,,,,,,,,,,,,
TOI174,2458741.834,-0.12,0.68,PFS2,,,,,,,,,,,,,
TOI174,2458742.851,0.42,0.67,PFS2,,,,,,,,,,,,,
TOI174,2458744.89,0.94,0.82,PFS2,,,,,,,,,,,,,
TOI174,2458760.833,3.44,0.52,PFS2,,,,,,,,,,,,,
TOI174,2458761.835,3.34,0.53,PFS2,,,,,,,,,,,,,
TOI174,2458762.823,5.27,0.51,PFS2,,,,,,,,,,,,,
TOI174,2458763.817,3.41,0.51,PFS2,,,,,,,,,,,,,
TOI174,2458764.837,0.84,0.49,PFS2,,,,,,,,,,,,,
TOI174,2458766.817,-0.62,0.5,PFS2,,,,,,,,,,,,,
TOI174,2458767.768,-2.17,0.68,PFS2,,,,,,,,,,,,,
TOI174,2458827.678,-0.84,0.66,PFS2,,,,,,,,,,,,,
TOI174,2458828.66,-1.15,0.41,PFS2,,,,,,,,,,,,,
TOI174,2458829.694,0.1,0.53,PFS2,,,,,,,,,,,,,
TOI174,2458831.679,2.32,0.39,PFS2,,,,,,,,,,,,,
TOI174,2458832.612,5.51,0.75,PFS2,,,,,,,,,,,,,
TOI174,2458834.654,7.03,0.5,PFS2,,,,,,,,,,,,,
TOI174,2458837.63,4.63,0.71,PFS2,,,,,,,,,,,,,
