name,time,RV,uncert,Instr
TOI836,2458674.632,5.85,0.94,PFS2
TOI836,2458675.633,9.52,0.86,PFS2
TOI836,2458678.575,-6.09,0.58,PFS2
TOI836,2458679.58,-11.72,0.69,PFS2
TOI836,2458680.621,-11.3,0.53,PFS2
TOI836,2458681.624,-1.18,0.89,PFS2
TOI836,2458682.58,9.21,0.57,PFS2
TOI836,2458683.588,8.38,0.63,PFS2
TOI836,2458703.541,-4.69,0.71,PFS2
TOI836,2458706.491,1.05,0.65,PFS2
TOI836,2458707.512,1.33,0.89,PFS2
TOI836,2458708.552,4.93,0.62,PFS2
TOI836,2458709.519,7.19,0.8,PFS2
TOI836,2458710.482,5.73,0.97,PFS2
TOI836,2458711.574,-1.9,0.81,PFS2
TOI836,2458712.545,0.1,0.58,PFS2
TOI836,2458713.548,4.64,0.78,PFS2
TOI836,2458714.511,2.49,1.12,PFS2
TOI836,2458715.569,3.79,0.69,PFS2
TOI836,2458716.532,11.19,0.71,PFS2
TOI836,2458717.541,17.04,0.73,PFS2
TOI836,2458884.847,-0.35,0.86,PFS2
TOI836,2458885.832,-5.65,0.89,PFS2
TOI836,2458886.834,-8.09,0.82,PFS2
TOI836,2458888.87,-2.12,0.77,PFS2
TOI836,2458889.868,-1.78,0.74,PFS2
TOI836,2458890.861,-5.16,0.7,PFS2
TOI836,2458912.86,-8.59,0.78,PFS2
TOI836,2458913.812,-5.42,0.8,PFS2
TOI836,2458914.884,2.05,0.77,PFS2
TOI836,2458915.885,5.27,0.78,PFS2
TOI836,2458916.883,0.57,0.73,PFS2
TOI836,2458917.832,-5.5,0.73,PFS2
TOI836,2458918.824,-5.11,0.75,PFS2
TOI836,2458919.835,-1.85,0.73,PFS2
TOI836,2458923.823,9.64,0.82,PFS2
TOI836,2458924.82,-1.53,0.76,PFS2
TOI836,2458925.824,-6.59,0.77,PFS2
TOI836,2458924.799,-71.81,0.82,HARPS
TOI836,2458925.827,-77.82,0.97,HARPS
TOI836,2458926.819,-78.12,0.88,HARPS
TOI836,2458927.858,-82.39,0.99,HARPS
TOI836,2458928.821,-89.12,0.92,HARPS
TOI836,2458929.847,-87.1,1.25,HARPS
TOI836,2458930.848,-79.27,1.02,HARPS
TOI836,2458931.835,-76.44,1.7,HARPS
TOI836,2458874.175,7.18,4.02,iSHELL
TOI836,2458875.17,-7.03,3.93,iSHELL
TOI836,2458895.161,-6.06,2.56,iSHELL
TOI836,2458899.17,3.34,3.97,iSHELL
TOI836,2458900.081,1.18,4.26,iSHELL
TOI836,2458908.083,-4.74,5.85,iSHELL
TOI836,2458911.095,-13.95,5.28,iSHELL
