name,time,RV,uncert,Instr
TOI134,2458406.616,1.83,1.01,PFS2
TOI134,2458407.619,-3.66,0.79,PFS2
TOI134,2458408.607,1.48,0.85,PFS2
TOI134,2458409.603,4.47,0.73,PFS2
TOI134,2458410.577,-4.24,0.77,PFS2
TOI134,2458411.604,-4.49,0.66,PFS2
TOI134,2458412.593,-2.72,0.59,PFS2
TOI134,2458413.655,-0.53,0.78,PFS2
TOI134,2458414.608,-2.85,0.6,PFS2
TOI134,2458415.592,3.4,0.72,PFS2
TOI134,2458416.602,3.6,0.67,PFS2
TOI134,2458417.559,-0.54,1.14,PFS2
TOI134,2458418.606,4.79,0.73,PFS2
TOI134,2458468.56,5.71,1.66,PFS2
TOI134,2458473.555,-2.81,1.46,PFS2
TOI141,2458591.906,3.29,0.43,PFS2
TOI141,2458592.92,1.6,1.21,PFS2
TOI141,2458593.908,-8.03,0.52,PFS2
TOI141,2458594.904,-7.65,0.48,PFS2
TOI141,2458595.908,3.51,0.64,PFS2
TOI141,2458617.906,-6.95,0.37,PFS2
TOI141,2458618.889,-2.59,0.5,PFS2
TOI141,2458619.853,4.84,0.65,PFS2
TOI141,2458620.916,8.73,0.52,PFS2
TOI141,2458621.893,0.82,0.52,PFS2
TOI141,2458624.888,9.44,0.49,PFS2
TOI141,2458625.884,7.96,0.5,PFS2
TOI141,2458626.9,0.47,0.44,PFS2
TOI141,2458627.864,-1.1,0.75,PFS2
TOI141,2458674.822,-5.68,0.6,PFS2
TOI141,2458675.818,-7.41,0.58,PFS2
TOI141,2458676.818,-2.46,0.63,PFS2
TOI141,2458677.812,4.46,0.54,PFS2
TOI141,2458678.808,2.32,0.5,PFS2
TOI141,2458679.773,-6.51,0.88,PFS2
TOI141,2458680.722,-11.79,0.84,PFS2
TOI141,2458681.824,3.39,0.65,PFS2
TOI141,2458704.684,-4.57,0.65,PFS2
TOI141,2458705.668,-0.9,0.74,PFS2
TOI141,2458738.598,0.02,0.74,PFS2
TOI141,2458760.65,-2.05,0.95,PFS2
TOI141,2458769.526,0.22,1.54,PFS2
TOI144,2458406.819,38.2,0.31,PFS2
TOI144,2458407.824,38.42,0.31,PFS2
TOI144,2458408.824,39.32,0.31,PFS2
TOI144,2458409.821,40.18,0.32,PFS2
TOI144,2458410.822,40.34,0.33,PFS2
TOI144,2458411.839,42.92,0.31,PFS2
TOI144,2458412.831,43.21,0.3,PFS2
TOI144,2458413.823,42.58,0.29,PFS2
TOI144,2458414.833,41.86,0.31,PFS2
TOI144,2458415.828,43.06,0.32,PFS2
TOI144,2458416.831,46.59,0.3,PFS2
TOI144,2458417.776,47.46,0.44,PFS2
TOI144,2458418.834,44.24,0.29,PFS2
TOI144,2458467.792,5.55,0.34,PFS2
TOI144,2458468.808,5.07,0.33,PFS2
TOI144,2458469.713,1.18,0.35,PFS2
TOI144,2458471.812,-0.56,0.35,PFS2
TOI144,2458473.809,-3.03,0.33,PFS2
TOI144,2458474.776,-3.84,0.33,PFS2
TOI144,2458475.775,-7.41,0.33,PFS2
TOI144,2458476.813,-8.37,0.32,PFS2
TOI144,2458479.71,-10.98,0.46,PFS2
TOI144,2458480.742,-14.12,0.37,PFS2
TOI144,2458501.644,-42.18,0.45,PFS2
TOI144,2458502.605,-46.27,0.3,PFS2
TOI144,2458504.686,-45.11,0.3,PFS2
TOI144,2458505.638,-45.68,0.33,PFS2
TOI144,2458510.638,-50.66,0.36,PFS2
TOI144,2458527.631,-72.08,0.39,PFS2
TOI144,2458528.609,-71.12,0.36,PFS2
TOI144,2458529.57,-70.9,0.49,PFS2
TOI144,2458531.551,-73.04,0.48,PFS2
TOI144,2458591.494,-124.17,0.49,PFS2
TOI144,2458595.473,-128.54,0.53,PFS2
TOI144,2458883.558,-249.28,0.46,PFS2
TOI144,2458884.523,-248.91,0.5,PFS2
TOI144,2458885.524,-246.72,0.57,PFS2
TOI174,2458406.757,-0.73,0.67,PFS2
TOI174,2458467.674,-3.15,0.39,PFS2
TOI174,2458468.64,-5.07,0.61,PFS2
TOI174,2458469.627,-3.39,0.42,PFS2
TOI174,2458471.626,-3.81,0.41,PFS2
TOI174,2458472.685,-2.11,0.4,PFS2
TOI174,2458473.634,-1.67,0.35,PFS2
TOI174,2458474.623,-2.13,0.34,PFS2
TOI174,2458475.644,-0.07,0.37,PFS2
TOI174,2458476.617,1.7,0.33,PFS2
TOI174,2458479.615,4.39,0.33,PFS2
TOI174,2458480.643,3.95,0.37,PFS2
TOI174,2458501.628,-0.29,0.51,PFS2
TOI174,2458502.577,-2.13,0.35,PFS2
TOI174,2458503.6,-1.17,0.34,PFS2
TOI174,2458504.64,-3.02,0.5,PFS2
TOI174,2458505.595,-3.08,0.43,PFS2
TOI174,2458506.581,-2.94,0.41,PFS2
TOI174,2458507.587,-1.49,0.4,PFS2
TOI174,2458508.594,-0.4,0.4,PFS2
TOI174,2458509.549,1.55,0.66,PFS2
TOI174,2458511.567,1.16,0.56,PFS2
TOI174,2458527.6,2.27,0.87,PFS2
TOI174,2458528.585,1.29,0.66,PFS2
TOI174,2458529.588,1.03,0.61,PFS2
TOI174,2458530.598,3.9,0.63,PFS2
TOI174,2458531.541,3.6,0.96,PFS2
TOI174,2458532.618,6.12,0.87,PFS2
TOI174,2458675.91,2.13,0.87,PFS2
TOI174,2458676.904,1.37,0.81,PFS2
TOI174,2458677.922,1.52,0.69,PFS2
TOI174,2458678.922,-0.99,0.68,PFS2
TOI174,2458681.912,-3.22,0.82,PFS2
TOI174,2458683.926,-0.56,0.91,PFS2
TOI174,2458684.886,-0.86,0.83,PFS2
TOI174,2458704.864,-3.29,0.71,PFS2
TOI174,2458705.873,-2.89,0.75,PFS2
TOI174,2458706.852,0.25,1.02,PFS2
TOI174,2458707.828,1.13,1.45,PFS2
TOI174,2458708.844,2.45,0.63,PFS2
TOI174,2458709.834,2.58,0.63,PFS2
TOI174,2458710.879,4.93,0.91,PFS2
TOI174,2458711.863,2.63,0.7,PFS2
TOI174,2458716.813,-1.43,0.88,PFS2
TOI174,2458717.858,-0.84,0.68,PFS2
TOI174,2458737.88,-3.66,0.78,PFS2
TOI174,2458738.864,-0.6,0.75,PFS2
TOI174,2458739.872,-1.97,0.67,PFS2
TOI174,2458740.866,-2.87,0.71,PFS2
TOI174,2458741.834,-0.12,0.68,PFS2
TOI174,2458742.851,0.42,0.67,PFS2
TOI174,2458744.89,0.94,0.82,PFS2
TOI174,2458760.833,3.44,0.52,PFS2
TOI174,2458761.835,3.34,0.53,PFS2
TOI174,2458762.823,5.27,0.51,PFS2
TOI174,2458763.817,3.41,0.51,PFS2
TOI174,2458764.837,0.84,0.49,PFS2
TOI174,2458766.817,-0.62,0.5,PFS2
TOI174,2458767.768,-2.17,0.68,PFS2
TOI174,2458827.678,-0.84,0.66,PFS2
TOI174,2458828.66,-1.15,0.41,PFS2
TOI174,2458829.694,0.1,0.53,PFS2
TOI174,2458831.679,2.32,0.39,PFS2
TOI174,2458832.612,5.51,0.75,PFS2
TOI174,2458834.654,7.03,0.5,PFS2
TOI174,2458837.63,4.63,0.71,PFS2
TOI175,2458591.598,-0.46,0.51,PFS2
TOI175,2458594.646,-3.85,0.74,PFS2
TOI175,2458595.582,-1.57,0.9,PFS2
TOI175,2458597.563,-3.45,1.42,PFS2
TOI175,2458619.495,-2.25,0.84,PFS2
TOI175,2458912.636,5.38,0.82,PFS2
TOI175,2458914.598,-1.49,0.93,PFS2
TOI175,2458915.598,1.97,0.66,PFS2
TOI175,2458916.656,0.44,0.62,PFS2
TOI175,2458919.551,5.1,0.92,PFS2
TOI175,2458921.58,1.62,0.54,PFS2
TOI175,2458922.56,2.26,0.65,PFS2
TOI175,2458923.575,3.64,0.61,PFS2
TOI175,2458925.579,-3.23,0.53,PFS2
TOI186,2458356.873,-4.2,0.64,PFS2
TOI186,2458407.77,3.76,0.8,PFS2
TOI186,2458411.723,5.56,0.6,PFS2
TOI186,2458417.721,7.72,0.85,PFS2
TOI186,2458467.716,-4.9,0.37,PFS2
TOI186,2458468.628,-2.05,0.57,PFS2
TOI186,2458469.69,0.4,0.37,PFS2
TOI186,2458471.654,1.66,0.36,PFS2
TOI186,2458472.677,1.29,0.36,PFS2
TOI186,2458473.611,2.41,0.35,PFS2
TOI186,2458474.689,2.06,0.37,PFS2
TOI186,2458475.65,2.55,0.35,PFS2
TOI186,2458476.633,3.63,0.34,PFS2
TOI186,2458479.668,9.75,0.35,PFS2
TOI186,2458480.69,10.32,0.38,PFS2
TOI186,2458501.574,-8.49,0.37,PFS2
TOI186,2458502.584,-9.1,0.37,PFS2
TOI186,2458503.602,-7.35,0.43,PFS2
TOI186,2458504.653,-6.68,0.36,PFS2
